,Unnamed: 0,name,created_at,description,followers_count,id,screen_name,favourites_count,entities,friends_count,location,url,verified,kol_count
18119,18119,LobisHQ,2021-11-12 20:25:29+00:00,"When the richest users hold all the power, these protocols do not belong to the people. Lobis is here to change that.

🌐  https://t.co/I27yhn3FCu
👾 https://t.co/PoOWDGuCa2",6060,1459255972568969221,LobisHQ,290,"{'url': {'urls': [{'url': 'https://t.co/qKaN3QuUll', 'expanded_url': 'https://mirror.xyz/0x05Ce51f0B583D3666222f5803C51b1De8D4B35C2', 'display_url': 'mirror.xyz/0x05Ce51f0B583…', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/I27yhn3FCu', 'expanded_url': 'http://lobis.finance', 'display_url': 'lobis.finance', 'indices': [122, 145]}, {'url': 'https://t.co/PoOWDGuCa2', 'expanded_url': 'http://discord.gg/lobishq', 'display_url': 'discord.gg/lobishq', 'indices': [148, 171]}]}}",5,( ||| : ||| ) ,https://t.co/qKaN3QuUll,False,7.0
6325,6325,Utopia Labs (We're Hiring!) ⛩,2021-09-14 01:27:14+00:00,"Meet Utopia (⛩,⛩) - the modern system for managing payments, accounting, reporting and more for your DAO, built right on top of Gnosis.",4186,1437588677639692291,utopialabs_,0,"{'url': {'urls': [{'url': 'https://t.co/2z8NJ1ePQk', 'expanded_url': 'https://www.utopialabs.com/', 'display_url': 'utopialabs.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",12,"San Francisco, CA",https://t.co/2z8NJ1ePQk,False,7.0
348,348,0xVentures DAO,2021-07-13 14:45:00+00:00,We are a DAO that functions as a Fund with the sole purpose of investing in sector-disrupting projects. Collectively owned and managed by our members.,5209,1414958951590989834,0x_Ventures,921,"{'url': {'urls': [{'url': 'https://t.co/GRkuyDycy6', 'expanded_url': 'https://0xventures.org/', 'display_url': '0xventures.org', 'indices': [0, 23]}]}, 'description': {'urls': []}}",139,Mars,https://t.co/GRkuyDycy6,False,5.0
9424,9424,Aelin 👾,2021-06-28 12:27:54+00:00,A deal coordination protocol built on Optimism | discord: https://t.co/5DFbsXWiV3 | website: https://t.co/z1E6XiezLt,6207,1409488511632232450,aelinprotocol,3,"{'description': {'urls': [{'url': 'https://t.co/5DFbsXWiV3', 'expanded_url': 'https://discord.gg/YHffnV9sUM', 'display_url': 'discord.gg/YHffnV9sUM', 'indices': [58, 81]}, {'url': 'https://t.co/z1E6XiezLt', 'expanded_url': 'http://Aelin.xyz', 'display_url': 'Aelin.xyz', 'indices': [93, 116]}]}}",8,Ethereum,,False,5.0
18676,18676,Alkimiya,2021-06-01 16:02:48+00:00,A permissionless open-sourced protocol building consensus capital markets.,1110,1399758260354359301,alkimiya_io,11,"{'url': {'urls': [{'url': 'https://t.co/hQOZKGgRpg', 'expanded_url': 'http://alkimiya.io', 'display_url': 'alkimiya.io', 'indices': [0, 23]}]}, 'description': {'urls': []}}",2,Arrakeen,https://t.co/hQOZKGgRpg,False,5.0
9630,9630,Paragons 💎 $PDT (No Token Out),2021-08-17 04:15:22+00:00,"We like the cards 💎 Building Paragons DAO 💎 $PDT paragons.eth

https://t.co/b6fp8YtaUr",5065,1427483982296502273,ParagonsDAO,614,"{'url': {'urls': [{'url': 'https://t.co/g5TcaAcBsV', 'expanded_url': 'https://paragonsdao.com/', 'display_url': 'paragonsdao.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/b6fp8YtaUr', 'expanded_url': 'http://discord.gg/pdao', 'display_url': 'discord.gg/pdao', 'indices': [63, 86]}]}}",57,Metaverse,https://t.co/g5TcaAcBsV,False,5.0
15592,15592,Blizz Finance,2021-11-05 11:12:02+00:00,"Blizz Finance is a decentralized, non-custodial liquidity market protocol operating on Avalanche. 🔺🔺 $BLZZ https://t.co/9S1x0GXFsJ",8082,1456579909715890180,BlizzFinance,19,"{'url': {'urls': [{'url': 'https://t.co/IFrtkIvddh', 'expanded_url': 'https://blizz.finance/', 'display_url': 'blizz.finance', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/9S1x0GXFsJ', 'expanded_url': 'https://discord.com/invite/aFtXkSWn5h', 'display_url': 'discord.com/invite/aFtXkSW…', 'indices': [107, 130]}]}}",2,,https://t.co/IFrtkIvddh,False,4.0
344,344,"DiamondDAO (◈, ◈)",2021-11-13 15:09:15+00:00,"Diamond DAO ◈ is an ecosystem of protocols designed to collect the most valuable assets in DeFi.

https://t.co/3QulZVzQLr",2179,1459538813290745864,DAOofDiamonds,52,"{'url': {'urls': [{'url': 'https://t.co/0kAWA4R3sZ', 'expanded_url': 'https://www.daoofdiamonds.com/', 'display_url': 'daoofdiamonds.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/3QulZVzQLr', 'expanded_url': 'https://discord.gg/QCRZrZfXRa', 'display_url': 'discord.gg/QCRZrZfXRa', 'indices': [98, 121]}]}}",75,DiamondIsland🌴,https://t.co/0kAWA4R3sZ,False,4.0
4805,4805,Mean Finance,2021-07-19 22:32:40+00:00,"The state-of-the-art DCA protocol.

Our protocol enables users to Dollar Cost Average (DCA) any ERC20 into any ERC20 with their preferred period frequency.",3616,1417219934116106242,mean_fi,232,"{'url': {'urls': [{'url': 'https://t.co/BBzetggQc0', 'expanded_url': 'https://mean.finance/', 'display_url': 'mean.finance', 'indices': [0, 23]}]}, 'description': {'urls': []}}",1,,https://t.co/BBzetggQc0,False,4.0
12903,12903,Umami Finance,2021-11-01 11:30:53+00:00,The premier market-maker and liquidity network natively built on Arbitrum. Part of @arbis_finance. Discord https://t.co/YGzV0pveY0,4476,1455135186816053253,UmamiFinance,120,"{'url': {'urls': [{'url': 'https://t.co/w0ZgqMgCnL', 'expanded_url': 'https://umami.finance/', 'display_url': 'umami.finance', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/YGzV0pveY0', 'expanded_url': 'http://discord.gg/arbis', 'display_url': 'discord.gg/arbis', 'indices': [107, 130]}]}}",11,,https://t.co/w0ZgqMgCnL,False,4.0
9237,9237,0x7d54,2021-06-16 01:47:28+00:00,"Decentralized finance (DeFi) analysis, DeFi-NFTs, & 1/1 art collector. @WorldofWomenNFT Curator for the WoW Fund. Pfp: @YKarkai. Header: @DrifterShoots.",9758,1404978881388556291,0x7d54,1943,{'description': {'urls': []}},511,,,False,4.0
3197,3197,Buji DAO,2021-10-22 09:00:49+00:00,"A community DAO by the Degen, for the Degen

DM @RaccoonChan for business cooperation",1569,1451473471997812747,buji_dao,7,"{'url': {'urls': [{'url': 'https://t.co/YcaYEC7Gjf', 'expanded_url': 'https://discord.gg/bujidao', 'display_url': 'discord.gg/bujidao', 'indices': [0, 23]}]}, 'description': {'urls': []}}",107,DAO,https://t.co/YcaYEC7Gjf,False,3.0
