Project,FDV/Market Cap,Daily TX,Active Validator/Miner,Market Dominance,TVL,Staking Ratio,Active Address,Twitter Follower,Dev Activity (Total Issues),Dev Activity (Stars),Dev Activity (# of contributors),Notes,Tools for Auto Comparison,Exist on Token Terminal,,,,,,,,,,,,
Terra,88.5B,746,156,1.38%,19.12B,37.15%,NA,230k,237,479,,Can't find address count,"Protocol Revenue, FDV",Exist on Token Terminal,,,,,,,,,,,,
ethereum,"$484,487,741,994",1299k,NA,19.97%,155.06B,7.18%,"508,000",NA,6115,34380,,FDV replaced with market cap,,,,,,,,,,,,,,
binance smart chain,"$99,304,373,270",5821k,21,3.91%,160.33M,82.47%,1.478M,121983,125,3563,,,,,,,,,,,,,,,,
solana,"$61,104,822,074",22420800,1361,2.52%,11.66B,77.20%,NA,NA,NA,NA,,FDV replaced with market cap,,,,,,,,,,,,,,
polkadot,"$33,477,333,217",13883,315,1.27%,1791425,53.90%,0.96M,844571,1304,4966,,FDV replaced with market cap,,,,,,,,,,,,,,
Aurora (near),"$19,249,184,463",51,NA,0%,515.57M,NA,3197,583,102,156,,,,,,,,,,,,,,,,
Near,"$15,821,642,771","419,808",68,0.37%,118.64M,39.08%,2041373,22042,NA,NA,,,,,,,,,,,,,,,,
Avalanche,"$1,145,772,664",625k,1195,1.15%,11.66B,59.68%,1416132,90739,322,1311,,,,,,,,,,,,,,,,
Polygon,"$28,663,027,985",3603223,NA,0.81%,5.51B,30.62%,129079379,993349,64,263,,Multiple Developer Projects; picked the most popular one of them,,,,,,,,,,,,,,
Optimism,"$449,044,890,896",45816,NA,NA,355.66M,NA,133383,NA,NA,NA,,,,,,,,,,,,,,,,
Arbitrum,"$388,284,899,394",24811,NA,NA,2.31B,NA,327075,NA,NA,NA,,,,,,,,,,,,,,,,
Starkware,NA,NA,NA,NA,NA,NA,NA,81484,NA,NA,,,,,,,,,,,,,,,,
ZKSync,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,https://zkscan.io/,,,,,,,,,,,,,,
Chainlink,"$22,997,538,095",NA,NA,0.45%,NA,0,"638,748",51858,283,2722,,Active Adress specified for Eth,,,,,,,,,,,,,,
Cosmos,"$9,036,477,002","21,446",150,0.28%,6123813,59.07%,NA,55634,4422,3180,,FDV replaced with market cap; Adresses count can be calculated via https://atomscan.com/accounts,,,,,,,,,,,,,,
Hedera,"$5,904,263,412",4.91M,NA,NA,NA,NA,"602,946",15271,NA,NA,,,,,,,,,,,,,,,,
Fantom,"$7,426,678,643",500k,66,0.23%,5.77B,53%,1.45M,NA,96,166,,,,,,,,,,,,,,,,
Mina,"$1,260,423,913",1585,495,0.05%,NA,98.51%,84610,266589,3802,1246,,,,,,,,,,,,,,,,
Aleo Network,NA,NA,NA,NA,NA,NA,NA,12547,NA,NA,,https://www.aleo.network/,,,,,,,,,,,,,,
Flow,"$2,964,178,053",266229,NA,0.12%,NA,51.24,"3,231,688",126028,NA,NA,,FDV replaced with market cap,,,,,,,,,,,,,,
Harmony One,"$3,471,411,720","4,673,884",NA,0.13%,590.71M,39.97,"537,319",86750,1054,1339,,,,,,,,,,,,,,,,
Immutable X,"$9,416,064,682",763,NA,0.04%,NA,NA,"18,238",163012,NA,NA,,,,,,,,,,,,,,,,
DYDX,"$9,215,123,590",728,NA,0.03%,1B,NA,"20,617",101282,NA,NA,,,,,,,,,,,,,,,,
