,chain,timestamp,act.addr.cnt
0,BTC,1620604800000,1315147
1,BTC,1620691200000,1258920
2,BTC,1620777600000,1245595
3,BTC,1620864000000,1187747
4,BTC,1620950400000,1066269
5,BTC,1621036800000,953308
6,BTC,1621123200000,971649
7,BTC,1621209600000,962984
8,BTC,1621296000000,856695
9,BTC,1621382400000,1031147
10,BTC,1621468800000,943686
11,BTC,1621555200000,942736
12,BTC,1621641600000,918673
13,BTC,1621728000000,957018
14,BTC,1621814400000,975836
15,BTC,1621900800000,968674
16,BTC,1621987200000,933622
17,BTC,1622073600000,864432
18,BTC,1622160000000,972164
19,BTC,1622246400000,863265
20,BTC,1622332800000,990443
21,BTC,1622419200000,977895
22,BTC,1622505600000,914351
23,BTC,1622592000000,1090605
24,BTC,1622678400000,1015474
25,BTC,1622764800000,907519
26,BTC,1622851200000,762659
27,BTC,1622937600000,737174
28,BTC,1623024000000,910652
29,BTC,1623110400000,998834
30,BTC,1623196800000,817282
31,BTC,1623283200000,948298
32,BTC,1623369600000,874050
33,BTC,1623456000000,1013611
34,BTC,1623542400000,799859
35,BTC,1623628800000,972587
36,BTC,1623715200000,963054
37,BTC,1623801600000,954838
38,BTC,1623888000000,865333
39,BTC,1623974400000,825241
40,BTC,1624060800000,688095
41,BTC,1624147200000,652470
42,BTC,1624233600000,835557
43,BTC,1624320000000,776432
44,BTC,1624406400000,847730
45,BTC,1624492800000,843836
46,BTC,1624579200000,880813
47,BTC,1624665600000,715801
48,BTC,1624752000000,518219
49,BTC,1624838400000,776365
50,BTC,1624924800000,792995
51,BTC,1625011200000,790273
52,BTC,1625097600000,817115
53,BTC,1625184000000,809016
54,BTC,1625270400000,1027108
55,BTC,1625356800000,843475
56,BTC,1625443200000,902032
57,BTC,1625529600000,853332
58,BTC,1625616000000,811614
59,BTC,1625702400000,802085
60,BTC,1625788800000,818441
61,BTC,1625875200000,726034
62,BTC,1625961600000,690684
63,BTC,1626048000000,838472
64,BTC,1626134400000,807050
65,BTC,1626220800000,817900
66,BTC,1626307200000,828844
67,BTC,1626393600000,764392
68,BTC,1626480000000,640355
69,BTC,1626566400000,651828
70,BTC,1626652800000,845474
71,BTC,1626739200000,822257
72,BTC,1626825600000,815589
73,BTC,1626912000000,780869
74,BTC,1626998400000,803246
75,BTC,1627084800000,712132
76,BTC,1627171200000,641796
77,BTC,1627257600000,958347
78,BTC,1627344000000,903400
79,BTC,1627430400000,868607
80,BTC,1627516800000,880689
81,BTC,1627603200000,841162
82,BTC,1627689600000,720022
83,BTC,1627776000000,695892
84,BTC,1627862400000,899861
85,BTC,1627948800000,820918
86,BTC,1628035200000,842870
87,BTC,1628121600000,854629
88,BTC,1628208000000,894265
89,BTC,1628294400000,724467
90,BTC,1628380800000,740945
91,BTC,1628467200000,934412
92,BTC,1628553600000,875882
93,BTC,1628640000000,866724
94,BTC,1628726400000,842547
95,BTC,1628812800000,917929
96,BTC,1628899200000,724702
97,BTC,1628985600000,750378
98,BTC,1629072000000,978773
99,BTC,1629158400000,953226
100,BTC,1629244800000,876483
101,BTC,1629331200000,888796
102,BTC,1629417600000,984372
103,BTC,1629504000000,787645
104,BTC,1629590400000,715639
105,BTC,1629676800000,973417
106,BTC,1629763200000,945668
107,BTC,1629849600000,867743
108,BTC,1629936000000,818959
109,BTC,1630022400000,864176
110,BTC,1630108800000,726381
111,BTC,1630195200000,685753
112,BTC,1630281600000,910173
113,BTC,1630368000000,930055
114,BTC,1630454400000,954959
115,BTC,1630540800000,1026339
116,BTC,1630627200000,1008068
117,BTC,1630713600000,776022
118,BTC,1630800000000,735688
119,BTC,1630886400000,968860
120,BTC,1630972800000,938525
121,BTC,1631059200000,907794
122,BTC,1631145600000,937415
123,BTC,1631232000000,906178
124,BTC,1631318400000,823454
125,BTC,1631404800000,705573
126,BTC,1631491200000,908372
127,BTC,1631577600000,952892
128,BTC,1631664000000,976201
129,BTC,1631750400000,1021047
130,BTC,1631836800000,943981
131,BTC,1631923200000,819880
132,BTC,1632009600000,714326
133,BTC,1632096000000,1014971
