,chain,total_relays,total_pokt,point,first_time,last_time
0,POKT Mainnet,118818,1057.4802,Dec 1,2021-12-01T00:01:10.971Z,0
1,BSC Mainnet,79461,707.2029,Dec 1,2021-12-01T00:01:10.971Z,0
2,Ethereum Rinkeby,454541,4045.4148999999998,Dec 1,2021-12-01T00:01:10.971Z,0
3,Harmony Shard 0,57750988,513983.7932,Dec 1,2021-12-01T00:01:10.971Z,0
4,ETH Archival Trace,1427441,12704.2249,Dec 1,2021-12-01T00:01:10.971Z,0
5,Ethereum Kovan,114540,1019.406,Dec 1,2021-12-01T00:01:10.971Z,0
6,Polygon Mainnet,5854858,52108.2362,Dec 1,2021-12-01T00:01:10.971Z,0
7,Ethereum Goerli,625471,5566.6919,Dec 1,2021-12-01T00:01:10.971Z,0
8,Ethereum Ropsten,172136,1532.0104,Dec 1,2021-12-01T00:01:10.971Z,0
9,Solana Mainnet,318944,2838.6016,Dec 1,2021-12-01T00:01:10.971Z,0
10,IoTeX Mainnet,156105,1389.3345,Dec 1,2021-12-01T00:01:10.971Z,0
11,xDAI Archival,114335,1017.5815,Dec 1,2021-12-01T00:01:10.971Z,0
12,FUSE Archival,117629,1046.8980999999999,Dec 1,2021-12-01T00:01:10.971Z,0
13,FUSE Mainnet,7026150,62532.735,Dec 1,2021-12-01T00:01:10.971Z,0
14,Avalanche Mainnet,676709,6022.7101,Dec 1,2021-12-01T00:01:10.971Z,0
15,Ethereum,24504153,218086.96169999999,Dec 1,2021-12-01T00:01:10.971Z,0
16,xDAI,3052857,27170.4273,Dec 1,2021-12-01T00:01:10.971Z,0
17,Polygon Archival,50962,453.5618,Dec 1,2021-12-01T00:01:10.971Z,0
18,Ethereum Archival,325,2.8925,Dec 1,2021-12-01T00:01:10.971Z,0
19,Ethereum Kovan,107266,954.6674,2,2021-12-02T00:14:43.794Z,0
20,xDAI,3117479,27745.5631,2,2021-12-02T00:14:43.794Z,0
21,FUSE Mainnet,7486169,66626.9041,2,2021-12-02T00:14:43.794Z,0
22,Polygon Mainnet,4954007,44090.662299999996,2,2021-12-02T00:14:43.794Z,0
23,Solana Mainnet,305191,2716.1999,2,2021-12-02T00:14:43.794Z,0
24,IoTeX Mainnet,159232,1417.1648,2,2021-12-02T00:14:43.794Z,0
25,ETH Archival Trace,1201111,10689.8879,2,2021-12-02T00:14:43.794Z,0
26,Ethereum Ropsten,166550,1482.295,2,2021-12-02T00:14:43.794Z,0
27,Ethereum Rinkeby,357442,3181.2338,2,2021-12-02T00:14:43.794Z,0
28,FUSE Archival,114076,1015.2764,2,2021-12-02T00:14:43.794Z,0
29,Avalanche Mainnet,777061,6915.8429,2,2021-12-02T00:14:43.794Z,0
30,POKT Mainnet,116686,1038.5054,2,2021-12-02T00:14:43.794Z,0
31,Ethereum,36916530,328557.11699999997,2,2021-12-02T00:14:43.794Z,0
32,BSC Mainnet,151362,1347.1218,2,2021-12-02T00:14:43.794Z,0
33,Polygon Archival,100532,894.7348,2,2021-12-02T00:14:43.794Z,0
34,Harmony Shard 0,66307300,590134.97,2,2021-12-02T00:14:43.794Z,0
35,Ethereum Goerli,655652,5835.3028,2,2021-12-02T00:14:43.794Z,0
36,xDAI Archival,107683,958.3787,2,2021-12-02T00:14:43.794Z,0
37,Ethereum Archival,110,0.979,2,2021-12-02T00:14:43.794Z,0
38,Polygon Mainnet,4264351,37952.7239,3,2021-12-03T00:14:09.359Z,0
39,Ethereum Ropsten,161359,1436.0951,3,2021-12-03T00:14:09.359Z,0
40,BSC Mainnet,140909,1254.0901,3,2021-12-03T00:14:09.359Z,0
41,IoTeX Mainnet,149951,1334.5638999999999,3,2021-12-03T00:14:09.359Z,0
42,Ethereum,37471533,333496.6437,3,2021-12-03T00:14:09.359Z,0
43,Avalanche Mainnet,884393,7871.0977,3,2021-12-03T00:14:09.359Z,0
44,Ethereum Rinkeby,367564,3271.3196,3,2021-12-03T00:14:09.359Z,0
45,Ethereum Goerli,1163728,10357.1792,3,2021-12-03T00:14:09.359Z,0
46,xDAI,2181071,19411.531899999998,3,2021-12-03T00:14:09.359Z,0
47,xDAI Archival,102712,914.1368,3,2021-12-03T00:14:09.359Z,0
48,Solana Mainnet,295855,2633.1095,3,2021-12-03T00:14:09.359Z,0
49,POKT Mainnet,117379,1044.6731,3,2021-12-03T00:14:09.359Z,0
50,ETH Archival Trace,1101777,9805.8153,3,2021-12-03T00:14:09.359Z,0
51,Harmony Shard 0,77726826,691768.7514,3,2021-12-03T00:14:09.359Z,0
52,Polygon Archival,55850,497.065,3,2021-12-03T00:14:09.359Z,0
53,FUSE Mainnet,6692054,59559.2806,3,2021-12-03T00:14:09.359Z,0
54,FUSE Archival,101501,903.3589,3,2021-12-03T00:14:09.359Z,0
55,Ethereum Kovan,99692,887.2588,3,2021-12-03T00:14:09.359Z,0
56,Ethereum Archival,1190,10.591,3,2021-12-03T00:14:09.359Z,0
57,Ethereum Ropsten,160604,1429.3756,4,2021-12-04T00:03:50.140Z,0
58,Ethereum Rinkeby,354282,3153.1098,4,2021-12-04T00:03:50.140Z,0
59,FUSE Archival,96562,859.4018,4,2021-12-04T00:03:50.140Z,0
60,Ethereum Kovan,105026,934.7314,4,2021-12-04T00:03:50.140Z,0
61,Ethereum Goerli,694298,6179.2522,4,2021-12-04T00:03:50.140Z,0
62,Ethereum,33335700,296687.73,4,2021-12-04T00:03:50.140Z,0
63,xDAI,4396909,39132.4901,4,2021-12-04T00:03:50.140Z,0
64,FUSE Mainnet,5582225,49681.8025,4,2021-12-04T00:03:50.140Z,0
65,Solana Mainnet,283020,2518.878,4,2021-12-04T00:03:50.140Z,0
